HouseStyle,TotalSF,SalePrice
2Story,2130,125000
1Story,2684,167900
1Story,3312,135000
1Story,1386,52500
2Story,2777,200000
1Story,1728,128500
1Story,1730,123000
1Story,2228,155000
2Story,3453,228500
1.5Fin,2809,177000
2Story,2184,155835
1Story,1920,108500
1Story,3724,262500
1Story,3508,283463
1Story,2976,215000
2Story,2837,122000
2Story,3882,200000
2Story,2574,171000
1.5Fin,1874,134900
1.5Fin,5271,410000
2Story,2857,235000
SLvl,2490,170000
1Story,1756,110000
1Story,2156,149900
2Story,2329,177500
1Story,3960,315000
2Story,3213,189000
1Story,3060,260000
1.5Fin,2453,104900
2Story,2028,156932
2Story,1720,144152
2Story,2488,216000
2Story,2663,193000
2Story,2232,127000
1Story,1696,144000
1Story,3325,232000
1.5Fin,2214,105000
SLvl,2653,165500
2Story,3205,274300
1Story,5266,466500
2Story,2984,250000
1Story,3142,239000
1Story,1558,91000
1.5Fin,2588,117000
2Story,1470,83000
SLvl,1778,167500
1Story,1728,58500
1Story,3322,237500
2Story,2358,157000
1Story,2232,112000
1.5Fin,1818,105000
1.5Fin,1950,125500
2Story,4176,250000
1.5Fin,3240,136000
1Story,3492,377500
1.5Fin,1953,131000
1Story,3050,235000
1Story,3168,124000
SFoyer,1764,123000
1.5Fin,2394,163000
1Story,2856,246578
2Story,3576,281213
1Story,2434,160000
2Story,2452,137500
1.5Fin,3112,138000
1.5Fin,2584,137450
1.5Fin,2020,120000
2Story,2432,193000
1Story,2580,193879
1Story,2949,282922
1.5Fin,1886,105000
1Story,3240,275000
SFoyer,1536,133000
1Story,1666,112000
2Story,1985,125500
2Story,2884,215000
2Story,2784,230000
1.5Fin,2524,140000
1Story,1040,90000
1Story,3688,257000
1.5Fin,2681,207000
1Story,2955,175900
2Story,3067,122500
2Story,3734,340000
1Story,2288,124000
1Story,3688,223000
2Story,2124,179900
1Story,2138,127500
1Story,1696,136500
SLvl,2898,274970
1Story,2368,144000
1Story,2504,142000
2Story,3350,271000
1.5Fin,2471,140000
1Story,1592,119000
1Story,2880,182900
2Story,2570,192140
1Story,1916,143750
1Story,1624,64500
2Story,2728,186500
1Story,2252,160000
1Story,2856,174000
1Story,1728,120500
1Story,3864,394617
1Story,2148,149700
SLvl,2264,197000
2.5Fin,2759,191000
1Story,1696,149300
2Story,3024,310000
1.5Unf,1904,121000
1Story,2844,179600
SFoyer,1727,129000
1Story,2376,157900
2Story,3310,240000
2Story,1906,112000
SFoyer,1260,92000
2Story,2688,136000
1Story,3151,287090
SLvl,1619,145000
1Story,2280,84500
1Story,2442,185000
2Story,2600,175000
1Story,3615,210000
2Story,3492,266500
1Story,2156,142125
1Story,2512,147500
